tuples,qdags,ghd,post mj,result
434074,4105218,4.10522e+06,464496,30606
70671,1253090,1.25309e+06,583002,25162
399329,4249596,4.2496e+06,1.6744e+06,342810
31771,475076,475076,299554,25423
534602,4613284,4.61328e+06,1.17271e+06,93076806
493058,4721460,4.72146e+06,1.33254e+06,633837
31857,412196,412196,237496,26204
642973,5536498,5.5365e+06,1.51567e+06,24881
159990,1279712,1.27971e+06,136978,24881
47782,880300,880300,137914,14760113
91225,1441374,1.44137e+06,174748,24881
14427,297662,297662,121480,25282
320851,1646684,1.64668e+06,82686,31348
612018,4281252,4.28125e+06,356304,25322
985108,6369820,6.36982e+06,120314,24881
204479,1729574,1.72957e+06,374644,24881
219818,1602322,1.60232e+06,354816,24881
806166,2060150,2.06015e+06,698496,24881
27560,443382,443382,215518,24881
90579,1534082,1.53408e+06,194534,560026
166460,2616846,2.61685e+06,730736,24882
195062,2624292,2.62429e+06,1.14697e+06,24881
194751,1678110,1.67811e+06,62380,24442
190873,1787088,1.78709e+06,390840,25322
442092,2983534,2.98353e+06,622434,24881
116393,574026,574026,43010,550052
5819,81658,81658,32012,24881
83004,1081140,1.08114e+06,435376,24881
41054,594732,594732,122160,25723
1039299,8112002,8.112e+06,1.63223e+06,14182113
937489,6533968,6.53397e+06,49486,24881
46687,849646,849646,78178,25302
178519,1814232,1.81423e+06,126848,24962
13510,196526,196526,93568,24762202
4768,105984,105984,40598,24881
216251,1983922,1.98392e+06,785624,25362
438905,3763366,3.76337e+06,89044,24922
80877,930686,930686,104746,24881
55348,869998,869998,53676,24881
862831,11496208,1.14962e+07,762184,391416
37523,828200,828200,374346,24881
881185,11472110,1.14721e+07,783432,25282
699395,5005838,5.00584e+06,36328,24881
46535,700648,700648,249614,24881
202700,1273338,1.27334e+06,409748,31027
659786,5583754,5.58375e+06,371674,498023
178733,1992154,1.99215e+06,849904,25964
26373,540426,540426,178614,25322
707643,5083162,5.08316e+06,99412,24881
953217,6662358,6.66236e+06,190164,25183
