tuples,qdags,ghd,post mj,result
26802,366128,366128,20104,26741
348430,3889364,3.88936e+06,29742,26721
515067,3652602,3.6526e+06,7120,26781
121567,1792794,1.79279e+06,7460,276012
100004,1076270,1.07627e+06,143486,13972476
709677,4224742,4.22474e+06,68498,30126
123332,1153706,1.15371e+06,563226,26802
1030581,7286664,7.28666e+06,181188,565618
795826,5544522,5.54452e+06,1.02473e+06,26821
1025991,8914450,8.91445e+06,428036,986207161
238018,1911698,1.9117e+06,50292,1216687
64098,934360,934360,7362,26801
171719,1482456,1.48246e+06,58930,26701
984462,5260220,5.26022e+06,77132,285822323
1041969,6633184,6.63318e+06,59896,26744
1062592,6227312,6.22731e+06,291414,31126250
663115,3554470,3.55447e+06,4.72111e+06,547821
1999575,14260012,1.426e+07,1.44987e+07,654897
948844,7603740,7.60374e+06,222744,32604
410629,4917534,4.91753e+06,11270,30723
437030,4685854,4.68585e+06,11542,27462
525754,3824956,3.82496e+06,6062,26721
106036,929932,929932,7304,476624
1106194,5969610,5.96961e+06,327032,27206
611491,5168300,5.1683e+06,1.60702e+06,11654128
285393,3492386,3.49239e+06,241954,26741
904821,8033482,8.03348e+06,118642,26902
113177,1209686,1.20969e+06,41838,26741
226362,1208822,1.20882e+06,6354,27304
78298,938116,938116,112492,800029
757633,5612712,5.61271e+06,7.61188e+06,23220150
665462,5204374,5.20437e+06,176888,26721
156577,2037370,2.03737e+06,84714,26781
225692,2280502,2.2805e+06,33850,44630248
66494,457554,457554,19864,27462
1057272,6138704,6.1387e+06,5.90059e+06,2532382655
710008,6323216,6.32322e+06,53804,26741
420311,3710094,3.71009e+06,20960,36869
1620089,12278220,1.22782e+07,1.65796e+06,32383
143847,1592924,1.59292e+06,229570,26701
709885,3013200,3.0132e+06,90862,31164
889519,9440788,9.44079e+06,1.90992e+06,31964
313595,1286082,1.28608e+06,219278,949471
70756,639612,639612,5854,27564
377058,3481900,3.4819e+06,168804,682826
133800,1446820,1.44682e+06,922106,26781
269967,2339128,2.33913e+06,20654,25921
56254,589502,589502,13942,700276
524719,4558964,4.55896e+06,78878,103404704
1234103,6781668,6.78167e+06,115822,39929
